assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
79,34,78,0.53728,9,80,44,McDavid,4,45,8478402,28,123,1.5375,C,10,44,20212022,0,1,0.14012,L,314,Connor McDavid,EDM,1323.975
85,22,72,0.33333,7,80,30,Huberdeau,2,54,8476456,35,115,1.4375,L,5,38,20212022,3,5,0.13513,L,222,Jonathan Huberdeau,FLA,1165.475
75,34,90,1.0,9,82,40,Gaudreau,2,26,8476346,64,115,1.40243,L,6,25,20212022,0,0,0.15267,L,262,Johnny Gaudreau,CGY,1114.4878
55,30,68,0.53401,11,80,55,Draisaitl,1,40,8477934,17,110,1.375,C,24,41,20212022,1,1,0.19784,L,278,Leon Draisaitl,EDM,1340.95
61,33,77,0.55555,5,81,47,Kaprizov,2,34,8478864,27,108,1.33333,L,14,31,20212022,0,0,0.16262,L,289,Kirill Kaprizov,MIN,1146.4691
46,44,77,0.56224,10,73,60,Matthews,2,18,8479318,20,106,1.45205,C,16,29,20212022,0,0,0.17241,L,348,Auston Matthews,TOR,1236.5479
64,26,70,0.51029,11,81,42,Stamkos,3,36,8474564,24,106,1.30864,C,16,36,20212022,0,0,0.17427,R,241,Steven Stamkos,TBL,1108.9876
62,30,75,0.46511,6,82,42,Tkachuk,0,68,8479314,57,104,1.26829,L,12,29,20212022,0,0,0.166,L,253,Matthew Tkachuk,CGY,1073.9634
67,24,59,0.54095,6,80,32,Miller,3,47,8476468,15,99,1.2375,C,8,38,20212022,0,2,0.15533,L,206,J.T. Miller,VAN,1264.6125
62,26,68,0.55555,5,72,35,Marner,1,16,8478483,23,97,1.34722,R,6,25,20212022,3,4,0.15625,R,224,Mitch Marner,TOR,1252.9722
74,17,59,0.5,5,75,22,Panarin,1,18,8478550,21,96,1.28,L,5,37,20212022,0,0,0.12429,R,177,Artemi Panarin,NYR,1152.8933
73,12,59,,2,80,23,Josi,0,46,8474600,13,96,1.2,D,11,37,20212022,0,0,0.08185,L,281,Roman Josi,NSH,1533.2625
46,36,62,0.14285,9,79,47,Connor,1,4,8478398,-3,93,1.17721,L,8,28,20212022,3,3,0.14826,L,317,Kyle Connor,WPG,1306.5063
56,20,57,0.46327,2,75,36,Rantanen,0,56,8478420,35,92,1.22666,R,16,35,20212022,0,0,0.14173,L,254,Mikko Rantanen,COL,1259.0933
66,17,61,0.5,2,78,26,Kane,0,18,8474141,-19,92,1.17948,R,9,31,20212022,0,0,0.09059,L,287,Patrick Kane,CHI,1309.3974
40,33,60,0.30769,5,77,50,Ovechkin,0,18,8471214,8,90,1.16883,L,16,29,20212022,1,1,0.1497,R,334,Alex Ovechkin,WSH,1234.3116
56,25,61,0.45379,5,65,32,MacKinnon,1,42,8477492,22,88,1.35384,C,7,27,20212022,0,0,0.10702,R,299,Nathan MacKinnon,COL,1263.6615
49,23,57,0.56948,5,67,39,Barkov,2,18,8477493,36,88,1.31343,C,12,26,20212022,4,5,0.18224,L,214,Aleksander Barkov,FLA,1218.194
59,20,58,0.49702,6,71,28,Kadri,0,71,8475172,13,87,1.22535,C,8,29,20212022,0,0,0.11336,L,247,Nazem Kadri,COL,1154.338
58,19,52,,6,77,28,Makar,3,26,8480069,48,86,1.11688,D,9,34,20212022,0,0,0.11666,R,240,Cale Makar,COL,1540.0779
43,27,57,0.5409,6,78,43,Duchene,3,38,8475168,6,86,1.10256,C,16,29,20212022,0,0,0.18859,L,228,Matt Duchene,NSH,1140.8205
65,14,47,,6,82,20,Hedman,1,36,8475167,26,85,1.03658,D,6,38,20212022,0,0,0.09132,L,219,Victor Hedman,TBL,1504.5365
52,27,67,0.26666,7,82,33,Fiala,1,52,8477942,23,85,1.03658,L,5,17,20212022,1,1,0.12595,L,262,Kevin Fiala,MIN,1058.8292
